Packageid,HouseName,Facade,Brand,Storey,CarSpaces,Price,Study,Ensuite,BedRooms,BathRooms,LandSize,BlockType,HouseSize
223670,Strathmore,Haring,Gen,Single,2,542459,0,1,4,2,392,Regular,234
223671,Canterbury,Alpine,Gen,Single,2,546559,0,1,4,2,392,Regular,234
223672,Caulfield,Drysdale,Gen,Single,2,539059,0,1,4,2,400,Corner,231
223677,Kensington,Haring,Gen,Single,2,631860,0,1,4,2,526,Irregular,213
223678,Caulfield,Laing,Gen,Single,2,616959,0,1,5,2,444,Corner,265
223699,Camberwell,Arkley,Gen,Single,1,282050,0,1,3,2,357,Regular,142
223703,Spotswood,Alpine,Gen,Single,2,552469,0,1,3,2,446,Corner,223
223705,Caulfield,Haring,Gen,Single,2,643589,0,1,3,2,361,Corner,207
223706,Ripponlea,Condor,Gen,Double,2,601100,1,1,4,2,328,Corner,215
223707,Camberwell,Nolan,Gen,Single,1,566850,0,1,3,2,294,Regular,160
223708,Camberwell,Drysdale,Gen,Single,1,503400,0,1,3,2,302,Regular,142
223709,Ivanhoe,Haring,Gen,Single,2,676390,0,1,3,2,350,Regular,207
223710,Clifton,Haring,Gen,Single,1,500200,0,1,2,2,300,Corner,130
223711,Carlton,Drysdale,Gen,Single,2,575900,0,1,3,2,471,Regular,178
223712,Fitzroy,Matisse,Gen,Double,2,792489,1,1,4,2,350,Regular,323
223732,Hawthorn,Condor,Gen,Double,2,692420,1,1,4,2,491,Corner,395
223733,Hawthorn,Monet,Gen,Double,2,713040,1,1,5,2,491,Corner,432
223734,Strathmore,Drysdale,Gen,Single,2,582480,0,1,4,2,491,Corner,251
223736,Canterbury,Woodland,Gen,Single,2,588950,0,1,4,2,491,Corner,250
223750,Albion,Condor,Gen,Double,1,472430,0,1,3,2,336,Corner,161
223751,Sandringham,Arkley,Gen,Single,2,561205,0,1,3,2,421,Regular,151
223765,Thornbury,Arkley,Gen,Single,2,645505,0,1,4,2,30,Regular,251
223766,Malvern,Alpine,Gen,Single,2,684525,1,1,4,2,477,Regular,267
223767,Ashwood,Monet,Gen,Double,2,805790,1,1,5,2,550,Corner,384
223768,Kooyong,Laing,Gen,Single,2,649985,0,1,4,2,515,Irregular,224
223769,Hawthorn,Matisse,Gen,Double,2,738790,1,1,4,2,487,Irregular,333
223770,Portsea,Metropolitan,Gen,Double,2,849065,1,1,4,2,570,Corner,426
223771,Hawthorn,Orana,Gen,Double,2,789965,1,1,5,2,30,Regular,432
223772,Caulfield,Strider,Gen,Single,2,679925,0,1,5,2,477,Regular,265
223773,Mckinnon,Rainforest,Gen,Double,2,787790,1,1,5,2,550,Corner,340
